Strategy_name,CE_token,PE_token,combined_sl,79434689,CE_entry,PE_entry,CE_Sqoff,PE_Sqoff,UT_ORDER,UT_SL,Id,CE_Price,CE_Strike,PE_Price,PE_Strike,CE_Sqoff_Price,PE_Sqoff_Price,Quantity,UT_Price,UT_SL_Price,straddle_PL,UT_PL,UT_Strike,triggered,PE_live_price,CE_live_price
09:40_SUT(FN),43929.0,43933.0,224.7,Order Placed,1100970849,1100970871,,,,,79434689,110.15,21250.0,89.95,21250.0,,,40.0,,,31.400000000000034,,,,48.15,120.55
09:50_SUT(FN),43929.0,43933.0,212.8,Order Placed,1100981329,1100981335,,,,,79434689,101.05,21250.0,86.95,21250.0,,,80.0,,,19.30000000000001,,,,48.15,120.55
10:00_SUT(FN),43934.0,43935.0,198.7,Order Placed,1100991739,1100991764,,,,,79434689,85.3,21300.0,90.55,21300.0,,,40.0,,,20.099999999999994,,,,66.45,89.3
10:10_SUT(FN),43934.0,43935.0,197.3,Order Placed,1101000876,1101000896,,,,,79434689,76.2,21300.0,100.9,21300.0,,,80.0,,,21.350000000000023,,,,66.45,89.3
10:20_SUT(FN),43934.0,43935.0,191.9,Order Placed,1101008966,1101008998,,,,,79434689,80.2,21300.0,90.35,21300.0,,,40.0,,,14.800000000000011,,,,66.45,89.3
10:30_SUT(FN),43934.0,43935.0,189.8,Order Placed,1101019027,1101019034,,,,,79434689,75.85,21300.0,92.85,21300.0,,,80.0,,,12.949999999999989,,,,66.45,89.3
10:40_SUT(FN),43934.0,43935.0,185.5,Order Placed,1101024717,1101024720,,,,,79434689,78.45,21300.0,84.75,21300.0,,,40.0,,,7.449999999999989,,,,66.45,89.3
10:50_SUT(FN),43934.0,43935.0,179.0,Order Placed,1101029828,1101029841,,,,,79434689,81.7,21300.0,77.05,21300.0,,,80.0,,,3.0,,,,66.45,89.3
11:00_SUT(FN),43936.0,43942.0,182.3,Order Placed,1101041937,1101041952,,,,,79434689,81.7,21350.0,75.45,21350.0,,,40.0,,,3.8499999999999943,,,,90.3,63.0
11:10_SUT(FN),43936.0,43942.0,170.1,Order Placed,1101051005,1101051014,,,,,79434689,70.2,21350.0,82.6,21350.0,,,40.0,,,-0.5,,,,90.3,63.0
